home_id,timestamp,device_id,device_type,room,status,power_watt,user_present,activity,indoor_temp,outdoor_temp,humidity,light_level,day_of_week,hour_of_day,price_kWh
1,2022-01-01 00:00:00,air_conditioner1,air_conditioner,bedroom,off,0.0,1,sleeping,11.4,11.9,45.2,73.4,5,0,1500
1,2022-01-01 00:00:00,light1,light,living_room,on,105.88,1,sleeping,11.4,11.9,45.2,73.4,5,0,1500
1,2022-01-01 00:00:00,tv1,tv,living_room,off,0.0,1,sleeping,11.4,11.9,45.2,73.4,5,0,1500
1,2022-01-01 00:00:00,fridge1,fridge,kitchen,on,223.46,1,sleeping,11.4,11.9,45.2,73.4,5,0,1500
1,2022-01-01 00:00:00,washer1,washer,laundry_room,off,0.0,1,sleeping,11.4,11.9,45.2,73.4,5,0,1500
2,2022-01-01 00:00:00,air_conditioner2,air_conditioner,bedroom,off,0.0,1,sleeping,9.8,11.5,56.6,0.9,5,0,1500
2,2022-01-01 00:00:00,light2,light,living_room,off,0.0,1,sleeping,9.8,11.5,56.6,0.9,5,0,1500
2,2022-01-01 00:00:00,tv2,tv,living_room,off,0.0,1,sleeping,9.8,11.5,56.6,0.9,5,0,1500
2,2022-01-01 00:00:00,fridge2,fridge,kitchen,on,290.69,1,sleeping,9.8,11.5,56.6,0.9,5,0,1500
2,2022-01-01 00:00:00,washer2,washer,laundry_room,off,0.0,1,sleeping,9.8,11.5,56.6,0.9,5,0,1500
3,2022-01-01 00:00:00,air_conditioner3,air_conditioner,bedroom,off,0.0,1,sleeping,10.2,10.1,51.3,23.1,5,0,1500
3,2022-01-01 00:00:00,light3,light,living_room,off,0.0,1,sleeping,10.2,10.1,51.3,23.1,5,0,1500
3,2022-01-01 00:00:00,tv3,tv,living_room,off,0.0,1,sleeping,10.2,10.1,51.3,23.1,5,0,1500
3,2022-01-01 00:00:00,fridge3,fridge,kitchen,on,274.7,1,sleeping,10.2,10.1,51.3,23.1,5,0,1500
3,2022-01-01 00:00:00,washer3,washer,laundry_room,off,0.0,1,sleeping,10.2,10.1,51.3,23.1,5,0,1500
